"county","year","subrur","temp","frost","sparr","blabi","bluti","coldo","chaff","coati","grefi","greti","housp","robin","starl"
"Cornwall",34,0.333333333333333,5.98666666666667,-2.71922935733333,0.013888889,4.11538461566667,4.722578348,1.168803419,4.936609687,0.629273504333333,6.55021367566667,2.95014245033333,4.013176638,1.525997151,0.397435897333333
"Cornwall",35,0.333333333333333,6.27555555533333,-2.78191105566667,0,2.92521367566667,5.50961538633333,1.038461539,7.73931624,0.358974359333333,8.26388889066667,1.70299145333333,4.642094017,1.65491453033333,0.576923077
"Cornwall",36,0.333333333333333,5.573888889,-1.80376702933333,0.013888889,4.07264957333333,4.485042735,1.91239316233333,7.333760685,0.559615384666667,6.21987179566667,3.29188034233333,4.28397435933333,1.52329059833333,0.601068376
"Derbyshire",11,0.5,2.6283333335,0.632210127,0,1.008741259,5.3094405595,0,2.146853147,0.153846154,3.208041958,1.6381118885,22.171328675,0.62937063,10.802447552
"Derbyshire",12,0.5,1.046666667,1.515847951,0,1.4318181825,3.440559441,0.43006993,2.1433566435,0.384615385,2.8881118885,1.6101398605,23.30594406,0.4982517485,8.97027972
"Derbyshire",13,0.5,2.711666667,0.368714842,0,0.480769231,1.6923076925,0.134615385,1.1346153845,0.134615385,1.2115384615,1.1923076925,30.1923077,0.307692308,7.307692307
"Derbyshire",14,0.5,2.436666667,0.8455020155,0,1.1057692315,2.6153846155,0.5817307695,1.6426282055,0.104166667,1.4230769235,1.1730769235,38.17948718,0.642628205,8.5064102565
"Derbyshire",15,0.5,1.8008333335,1.1052247915,0,1.141025641,2.634615385,0.272435898,1.099358975,0,1.519230769,1.0240384615,24.161858975,0.58974359,6.349358975
"Derbyshire",16,0.5,1.3275,1.5347104995,0,1.3493589745,4.9775641025,0.078525641,2.522435898,0.3461538465,2.3445512825,2.3862179485,23.24358975,0.9567307695,11.041666671
"Derbyshire",17,0.5,1.855833333,1.2247843265,0,1.2211538465,4.4567307695,0.28125,3.7860576925,0.6153846155,1.9735576925,1.331730769,26.98317308,0.6730769235,9.966346155
"Derbyshire",18,1,3.285,-0.140573953,0,0.698717949,3.548076923,0,5.176282051,0.282051282,1.278846154,1.919871795,17.84935898,1.019230769,10.39102564
"Derbyshire",19,0.5,3.338333333,0.040506507,0.0692307695,1.0921328675,7.505594405,1.5903846155,2.9914335665,1.806818182,2.4069930075,3.683566434,7.363636362,0.9795454545,3.015734266
"Derbyshire",20,0.5,3.8925,-0.651603907,0.0192307695,1.0657051285,6.1506410265,2.743589744,2.528846154,1.293269231,2.479166667,3.073717949,6.8798076925,1.411858975,4.4775641025
"Derbyshire",21,0.5,2.546666667,1.234070504,0.0442307695,1.4746794875,6.4233974375,1.0564102565,2.1349358975,0.917628205,2.4464743595,2.847435898,7.7701923085,1.8009615385,5.7923076925
"Derbyshire",22,0.5,2.9,-0.3881086215,0,1.725815851,7.5291375285,1.5145687645,2.9546911425,1.358245921,2.1449592075,3.8356643355,10.0394813525,1.841346154,4.387092075
"Derbyshire",23,0.5,2.0758333335,0.81300039475,0.08653846175,1.123397436,4.01121794875,3.968750002,2.7259615385,0.96875000025,2.4270833335,2.10817307725,10.84935897425,1.29807692325,7.9238782065
"Derbyshire",24,0.5,1.8020833335,0.9739124385,0.09870338025,1.76238345025,3.84178321725,3.408508159,2.86254370625,1.27993881125,1.36924533825,2.7658799535,10.176864802,1.25509906775,6.73958333275
"Derbyshire",25,0.5,3.05708333325,0.177622721,0.2067307695,1.92467948725,3.6762820515,3.75801282025,2.575320513,0.9278846155,1.09775641025,2.6009615385,9.64423076925,1.01762820525,3.42307692325
"Derbyshire",26,0.5,2.185,0.4357494355,0.07692307725,1.81730769275,3.97115384625,3.38461538475,3.134615385,0.778846154,1.50000000025,2.09615384625,11.09615384775,1.28846153875,4.58653846175
"Derbyshire",27,0.5,2.44125,0.58592433625,0.060096154,2.0048076925,4.5520833335,3.35096153875,3.7660256415,1.3758012825,1.21554487175,2.670673077,8.146634616,1.04647435925,3.24679487175
"Derbyshire",28,0.5,3.75875,-0.73880691725,0.07097902125,1.71417540825,4.45158799575,2.4775203965,3.61032925425,1.023659674,1.99399766925,2.1267045455,7.93550408,1.02326631725,2.09009324025
"Derbyshire",29,0.666666666666667,2.85555555533333,-0.0142432476666667,0.056980057,1.78632478633333,4.71616809133333,1.33725071266667,4.94729344733333,1.80413105466667,2.23931623933333,2.21153846166667,3.75925925933333,1.08689458733333,2.93839031366667
"Derbyshire",30,0.666666666666667,3.07944444433333,0.308838343333333,0.0929487183333333,2.160612536,3.820771821,1.48144910633333,5.04328541833333,1.46542346533333,3.32608132666667,2.031889407,3.040630666,1.29729992266667,2.63053613066667
"Derbyshire",31,0.666666666666667,2.08833333366667,0.154068719,0.0790598293333333,1.73749028766667,3.44786324766667,1.78224553266667,3.33012820533333,1.517424243,3.421717172,1.56002331033333,2.442851593,1.54611499633333,1.91614219133333
"Derbyshire",32,0.666666666666667,3.367777778,-0.254910013333333,0.129273504666667,1.56410256466667,4.09009971533333,1.268874644,3.67236467266667,2.425925926,4.18482906033333,2.11253561266667,4.13425925966667,1.54415954433333,1.94907407433333
"Derbyshire",33,0.666666666666667,2.71388888866667,-0.009600159,0.128205128333333,1.33814102566667,4.18953962733333,1.47974941766667,3.49781468533333,2.124708625,4.25961538466667,1.91113053633333,2.547348485,1.30084498866667,3.11174242433333
"Derbyshire",34,0.5,2.8133333335,0.332730904,0.2979603735,1.4110431235,3.957750583,1.8825174825,3.1118006995,2.7537296045,3.9040792545,2.4216491845,2.0108974365,1.21462704,2.625
"Derbyshire",35,1,3.861666667,-0.999545369,0.132575758,0.909090909,1.950757576,2.700757576,1.867424243,1.238636364,3.253787879,1.337121212,7.537878788,1.178030303,3.079545455
"Derbyshire",36,1,3.113333333,0.092741255,0.118589744,2.884615385,1.410256411,1.766025641,1.006410257,1.262820513,2.182692308,1.631410257,4.189102565,1.051282051,3.538461539
"Devon",11,0,4.915,-1.100532549,0.4423076925,2.511217949,10.4391025635,0,13.610576925,1.2259615385,8.947115385,3.229166667,0.30448718,2.256410257,0.841346154
"Devon",12,0,4.32,-0.9429577245,0.5384615385,3.5945512825,9.15224359,0.0192307695,19.8205128195,2.4150641025,12.0512820525,4.855769231,0.338141026,2.126602564,2.6009615385
"Devon",13,0,5.1666666665,-1.2961226615,0.2884615385,2.273455711,8.6314102585,0.1153846155,13.1327214455,1,13.433420745,2.649912588,0.1746794875,2.0521561775,0.1923076925
"Devon",14,0,3.753333333,0.298778318,0.961538462,4.192307692,16.53846154,0.461538462,44.34615385,4.461538462,26.88461539,6.615384616,1.461538462,3.307692308,0.423076924
"Devon",15,0,2.976666667,0.835055066,0.653846154,4.615384615,4.846153847,0.076923077,13.65384615,1.038461539,21.57692308,1.576923077,3.884615385,3.115384616,6
"Devon",16,0,2.753333333,0.443294454,0.923076923,5.538461539,11.46153846,0.038461539,35.42307693,3.384615385,19.76923077,6.384615385,2.576923077,3.346153847,2.576923077
"Devon",17,0,3.253333333,-0.04306909,1.038461539,5,10.76923077,0.307692308,33.38461539,2.961538462,24.73076923,6.423076923,1.615384616,3,0.884615385
"Devon",18,0,4.286666667,-0.684395721,0.923076923,4.846153846,14.38461539,0.076923077,25.26923077,3.26923077,19.53846154,3.846153847,3.807692308,2.807692308,0.884615385
"Devon",19,0,4.825,-0.474295956,0.884615385,4.538461539,12.73076923,1.153846154,27.34615385,3.153846154,16.1923077,4.307692308,4.346153846,2.76923077,0.384615385
"Devon",20,0,5.3225,-1.828336707,0.557692308,3.0000000005,8.692307693,1.5192307695,18.269230773,1.9230769235,17.55769231,2.9230769235,27.28846154,1.9423076925,4.038461539
"Devon",21,0,3.4875,0.3098056535,0.461538462,3.480769231,4.692307693,0.653846154,9.6346153855,1.4038461545,19.634615387,1.307692308,12.8461538505,2.307692308,4.4423076925
"Devon",22,0,3.8308333335,-0.1846832965,0.5,2.403846154,9.865384618,0.5192307695,16.807692308,2.7884615385,16.1153846175,3.480769231,7.1923076925,2.1153846155,3.6923076925
"Devon",23,0.333333333333333,4.285,-0.703355,0.690170940333333,3.99572649566667,6.05341880333333,1.55128205133333,12.7713675196667,1.683760684,27.940170941,3.11324786333333,3.826923077,2.29059829066667,7.05555555566667
"Devon",24,0.333333333333333,4.13777777766667,-1.369638233,0.538461538333333,4.32371794866667,3.98824786366667,1.012820513,14.586538464,1.53205128233333,18.0523504283333,2.08440170966667,3.81196581233333,2.48824786366667,6.20299145266667
"Devon",25,0.2,5.456,-1.9410476862,0.360769231,2.9792307694,6.3053846168,1.3161538466,9.2253846158,1.8592307696,15.4746153852,2.5153846156,5.3838461546,2.0676923076,3.254615385
"Devon",26,0.166666666666667,4.127222222,-1.04723375916667,0.2879273505,2.3791763795,4.13942307716667,1.39534770816667,8.49373543233333,1.06303418816667,16.1364607635,1.6828379955,10.3384324026667,2.03443084716667,3.2947261075
"Devon",27,0.222222222222222,3.94759259266667,-0.605334238,0.35968661,2.52810152833333,4.98797807155556,1.91392558077778,10.3208689456667,1.14784598133333,12.0424544596667,1.91072045255556,6.91678537633333,1.76367305566667,3.91123845322222
"Devon",28,0.3,5.0599999999,-1.2944975804,0.2535693475,2.1598892775,4.3082196971,1.7035722613,9.3645017486,1.4650670167,10.6648980197,1.9589627042,5.4134090909,1.4305506995,2.6698659676
"Devon",29,0.3,4.416,-1.1459767796,0.3008333335,2.250699301,4.1456526808,2.2004428909,9.3388111883,1.3768822847,8.2799650356,2.4537995343,4.5005769235,1.4181351984,2.8541608395
"Devon",30,0.307692307692308,4.45948717938462,-1.01820701384615,0.105814057846154,1.879482697,3.96251718384615,1.59489869115385,7.88720787807692,1.645411213,9.38636363723077,2.09979977307692,5.17850098630769,1.46138156753846,2.35945251361538
"Devon",31,0.285714285714286,4.08916666664286,-1.01828354835714,0.0746753248571429,1.99765651042857,3.548214286,1.69345238128571,6.29682400964286,1.0496295375,8.33438228514286,1.86633366664286,4.96598401621429,1.5092157845,2.02437146164286
"Devon",32,0.307692307692308,5.10025641023077,-1.31898094423077,0.0656266810769231,1.87206383369231,4.06653816323077,1.35901918607692,5.25708266092308,1.91648735915385,6.35310949761538,2.55265674530769,4.96984639292308,1.59784980007692,3.67756709084615
"Devon",33,0.307692307692308,4.77487179476923,-1.686231405,0.0295857989230769,2.49930966492308,4.34120046661538,1.18121301792308,4.76415187438462,1.49266182546154,6.098032096,1.98832257492308,5.71412049561538,1.71301775169231,1.80253720646154
"Devon",34,0.307692307692308,4.21076923076923,-0.612383200846154,0.079289941,2.44565370553846,3.83941251115385,1.14582276730769,5.41561003146154,1.53811637115385,7.17758523538462,1.93145252207692,6.69765426938462,1.242850099,2.32255564976923
"Devon",35,0.25,4.67222222208333,-1.302942198,0.130123349083333,2.13403263425,3.31030254475,0.995107323416667,3.88817259141667,0.843677156416667,7.51257770125,1.5543293515,6.53371454925,1.26250485666667,1.78596056708333
"Devon",36,0.25,3.85013888891667,-0.449387719666667,0.01660839175,2.58441905325,3.65366577883333,0.8157051285,4.90321484075,1.47077575233333,6.3840673215,2.07075216458333,6.2159888725,1.41664238541667,1.36271367516667
"Hampshire",11,0.5,3.50416666675,0.284631406875,0.01001602575,1.831111597,3.71958770375,2.17828525675,4.1479458055,0.414226398875,2.584134615625,1.15395541975,14.882357227375,1.116185897625,8.581439394125
"Hampshire",12,0.555555555555556,2.63777777766667,0.939073151111111,0.00854700855555556,2.68043253077778,4.05896788411111,2.04309764333333,5.42675472766667,0.897442372777778,1.94924242433333,2.19385521922222,11.9875226635556,1.40021367544444,10.5120111385556
"Hampshire",13,0.555555555555556,3.90851851855556,0.0350250828888889,0.00854700855555556,1.85411810433333,2.65177415211111,1.62574462588889,3.68884356455556,0.354344729444444,1.21872571888889,1.314879565,11.8677479927778,1.14523439555556,10.6593499097778
"Hampshire",14,0.625,3.4127083335,0.62067495375,0,2.706250000125,3.501923077375,1.868750000125,6.049519231,0.462980769625,1.5649038465,1.751923077,12.28461538575,1.264423077125,12.68461538675
"Hampshire",15,0.5,2.43354166675,1.06147819,0.004807692375,2.67988782075,2.622996795125,1.76722756425,3.442708333625,0.25961538475,1.8169070515,0.981971154125,11.3770032065,1.371394231125,7.46394230825
"Hampshire",16,0.571428571428571,2.01333333328571,1.10037442228571,0.0164835165714286,2.51098901114286,3.94734432257143,1.33516483542857,7.07188644814286,0.739010989285714,1.91254578785714,2.03250915785714,11.959249086,1.60439560471429,10.8017399275714
"Hampshire",17,0.571428571428571,2.53952380957143,0.943753089857143,0.0173992675714286,2.48921911457143,3.86850649371429,1.87562437585714,7.047244422,0.732226107428571,2.61630036685714,1.973942724,11.2332667342857,1.403929404,12.0261821527143
"Hampshire",18,0.5,3.81,-0.44288255875,0.015625,1.994791667125,3.239182692625,2.051682692625,4.977564102875,0.558894230875,2.028044872,1.373397436125,10.54407051525,1.16426282075,11.245592949625
"Hampshire",19,0.625,4.327291666625,-0.239239589,0.02130681825,2.257612179875,3.715253496625,2.10343822875,5.77443910325,0.9234047205,1.473047785625,2.13792977875,8.154793123625,1.436043123625,9.464634324375
"Hampshire",20,0.625,5.03666666675,-1.2772601135,0.050225816,1.55769230775,3.51886655025,2.209353147125,3.603292540875,0.79705710975,1.941397144875,1.556599650375,7.2311334505,1.1959134615,8.2922494165
"Hampshire",21,0.714285714285714,3.272142857,0.409217499571429,0.00549450557142857,2.05047730057143,2.54115329142857,1.82106782128571,2.603826729,0.422064047285714,1.05265567785714,1.01900876928571,7.97258297242857,1.39546564571429,8.957126208
"Hampshire",22,0.4,3.1863333332,0.0391135804,0.0153846154,2.428111888,3.5646153848,1.388671329,4.2425174826,1.4713286714,1.0630769232,2.508951049,3.7784615382,1.8240559444,4.7184615378
"Hampshire",23,0.6,3.1413333332,0.6611713934,0.0090909092,2.1270396272,3.2617132868,1.9979020982,3.807808858,1.5959790212,2.6068764574,2.9037878788,3.3946969704,1.395629371,4.6326923086
"Hampshire",24,0.666666666666667,3.23972222233333,0.638400912333333,0.0261752138333333,2.70177738933333,3.491404429,5.4381313135,5.81080031116667,0.955128205333333,3.2697649575,2.3393550895,6.02802059133333,1.49276418066667,6.57760295266667
"Hampshire",25,0.666666666666667,4.65629629622222,-0.390075485444444,0.0555555556666667,1.99245014266667,3.97072649611111,3.69750712244444,4.66317663844444,1.178774929,2.34465811977778,2.60149572666667,7.12834757888889,1.37435897466667,6.72592592677778
"Hampshire",26,0.75,3.513749999875,-0.199410593375,0.004807692375,2.10205419575,4.700174825375,5.410183566625,4.0126384035,0.58078379975,2.565268065625,1.819930070125,5.97894813475,1.527280011875,5.882393648375
"Hampshire",27,0.714285714285714,3.41690476185714,0.0529433518571428,0.038919414,2.12179487214286,4.50824175828571,5.39148351657143,6.21520146528571,0.868131868285714,1.34386446914286,2.49816849814286,7.27243589714286,1.28205128228571,7.59111721757143
"Hampshire",28,0.625,4.55,-0.5282718625,0.086538461625,2.097115384875,5.271554487,1.98461538475,3.85072115475,0.5379807695,3.07483974475,2.701041666375,5.356810898375,1.224759615625,6.474519232375
"Hampshire",29,0.714285714285714,4.04166666657143,-0.342216664285714,0.065934066,1.52655677671429,4.64423077057143,2.88003663042857,5.25915751014286,0.630952381,3.83424908471429,3.22069597157143,7.98763736414286,1.18315018328571,8.05311355328571
"Hampshire",30,0.666666666666667,3.82013888883333,-0.0446651518333333,0.136538461583333,2.2422283735,3.967684862,2.34473582,4.81345344508333,0.751384032833333,3.05764536433333,2.5499222995,5.05892903483333,1.39678839708333,8.19322228758333
"Hampshire",31,0.615384615384615,3.91128205123077,-0.346253855307692,0.0990631164615385,2.12413483984615,3.95690783615385,1.81389860153846,3.59728572753846,0.649959655923077,3.40301685476923,2.42906132338462,5.20244307038462,1.56714855676923,5.79206562684615
"Hampshire",32,0.692307692307692,4.75128205123077,-0.637116577076923,0.200813609538462,2.26299309676923,4.63838757476923,2.35791420138462,5.49413215076923,1.60589250507692,4.87482741661538,3.463634123,3.859344182,1.67773668653846,7.39975345153846
"Hampshire",33,0.692307692307692,4.392820513,-0.821143613230769,0.110946745769231,3.05941366330769,4.85550699284615,2.15966469438462,4.75668145976923,0.953579433615385,4.08193249130769,2.49441680130769,4.16039089153846,1.82546171815385,6.21967903961538
"Hampshire",34,0.636363636363636,3.82242424236364,-0.0364210312727273,0.191513032545455,3.40776647636364,5.03598926363636,2.10313802381818,5.19541569581818,1.727122625,2.46414318018182,3.64163488036364,2.731060607,1.69492124045455,3.830984672
"Hampshire",35,0.6,4.1580000002,-0.2805630789,0.1841117217,2.4958166834,4.7408966035,2.0175553614,3.2306277059,1.266329504,4.1616466869,2.7364572929,2.7977564109,1.6719551282,3.2343677165
"Hampshire",36,0.6,3.3111666666,0.8286127806,0.2767628205,4.447418415,5.8750456484,1.5322571876,5.5901835677,1.8512509714,3.246969697,3.3184702801,3.5692948725,1.7896017874,2.777750583
"Hertfordshire",11,0.5,2.70527777783333,0.8364093005,0,1.41161616183333,4.1672979805,0.586829837,1.34928613083333,0.720401127,3.62939491083333,1.43155108816667,14.810946002,1.03851010133333,11.8647290211667
"Hertfordshire",12,0.571428571428571,1.435,1.75098723071429,0,2.61763236785714,3.77085414585714,1.091616717,2.43947718985714,1.00666000685714,3.55856643342857,1.99167499185714,14.6328255102857,1.30215617757143,11.7502081264286
"Hertfordshire",13,0.5,2.95527777783333,0.826059081833333,0,2.6431623935,3.01068376083333,1.561965812,1.60897435916667,0.8012820515,2.87927350483333,1.42788461566667,16.213675214,1.28205128233333,12.1250000006667
"Hertfordshire",14,0.5,2.6169444445,1.07930087966667,0,2.57051282083333,3.62179487183333,1.62179487183333,3.37500000016667,1.11858974383333,2.94871794883333,2.48076923116667,17.041666669,1.3044871795,10.5961538463333
